ID;Nom;Référence;Catégorie;Prix de base;Quantite;Etat;Millesime;Poids;U.C.;Cont;Coul;Caractéristiques
482;AOP MINERVOIS GRANDE RESERVE DOMAINE PUJOL-IZARD;210004H;PUJOL IZARD;4,9;2000;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
620;AOP COTES DU RHONE;201023;CAVE LES COTEAUX DU RHONE;6,6;0;1;NM;3,2;x 1;B03L;RGE;annee:NM,couleur:RGE,contenant:B03L,conditionnement:x 1
522;AOP FITOU DOMAINE DE COURTAL CAVE DE MONT TAUCH;241006H;CAVE DE MONT TAUCH ;3,2;170;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
230;AOP CORBIERES LA POMPADOUR CASTELMAURE;084007;DOMAINE CASTELMAURE;4,6;964;1;2014;1,33;x 6;75 cl;RGE;annee:2014,couleur:RGE,contenant:75 cl,conditionnement:x 6
327;AOP PINOT NOIR;007006;DOMAINE ANDRE DUSSOURT;6,3;3964;1;2013;1,33;x 6;75 cl;RGE;annee:2013,couleur:RGE,contenant:75 cl,conditionnement:x 6
427;AOP POMMARD 1ER CRU DOMAINE LATOUR-GIRAUD;CDH-022012;DOMAINE LATOUR-GIRAUD;29,41;2000;1;2009;1,33;x 6;75 cl;RGE;annee:2009,couleur:RGE,contenant:75 cl,conditionnement:x 6
121;AOP ST ESTEPHE CHATEAU TOUR DE PEZ 2012;041001/12;CHATEAU TOUR DE PEZ;13,25;964;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
787;AOP COTES DU RHONE MAGIE D'UNE TERRE;201016;CAVE LES COTEAUX DU RHONE;2,4;1940;0;2014;7,98;x 12;37.5 cl;RGE;annee:2014,couleur:RGE,contenant:37.5 cl,conditionnement:x 12
76;AOP BORDEAUX SUPERIEUR CHATEAU BECHEREAU;124002;CHATEAU BECHEREAU;3,3;1000;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
465;AOP SAINT BRIS DOMAINE FILLON ;095005;DOMAINE FILLON;3,9;1898;1;2014;1,33;x 6;75 cl;BLC;annee:2014,couleur:BLC,contenant:75 cl,conditionnement:x 6
502;"AOP CORBIERES MAUVAISE REPUTATION ""CASTELMAURE""";084050;DOMAINE CASTELMAURE;10,5;1976;1;2012;1,33;x 6;75 cl;RGE;annee:2012,couleur:RGE,contenant:75 cl,conditionnement:x 6
162;IGP PAYS D'OC MUSCAT MOELLEUX DOUCEUR DU SUD;099013;ORMARINE;2,81;904;1;2016;1,33;x 6;75 cl;BLC;annee:2016,couleur:BLC,contenant:75 cl,conditionnement:x 6
838;AOP COSTIERES DE NIMES;002015;CAVE GALLICIAN;9,35;1975;1;NM;10,2;x 1;B10L;RSE;annee:NM,couleur:RSE,contenant:B10L,conditionnement:x 1
